"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA112 Trance states,Code: EA112 Trance states,Description: EA112 Trance states,Comment: EA112 Trance states,Subcase: EA112 Trance states,References: EA112 Trance states,Variable: Annual Mean Precipitation (mm),Comment: Annual Mean Precipitation (mm),Variable: Precipitation Constancy (),Comment: Precipitation Constancy ()
Ethnographic Atlas,Lango,Aj4,xd409,Lango (Aj4),2.0,33.0,2.0,33.0,lang1324,Lango (Uganda),laj,Nilotic,1920,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,121945.8672,,0.382537147,
Ethnographic Atlas,Bozo,Ag7,xd295,Bozo (Ag7),14.0,-5.0,14.0,-5.0,tiey1235,Tiéyaxo Bozo,boz,Mande,,NA,Missing data,,,,53152.94506,,0.280373034,
Ethnographic Atlas,Choroti,Sh5,xd1392,Choroti (Sh5),-22.0,-62.0,-22.0,-62.0,iyow1239,Iyo'wujwa Chorote,crq,Matacoan,,NA,Missing data,,,,84072.86618,,0.368930497,
Ethnographic Atlas,Macha,Ca13,xd419,Macha (Ca13),9.0,37.0,9.0,37.0,west2721,West Central Oromo,gaz,Afro-Asiatic,,NA,Missing data,,,,116714.2925,,0.327030768,
Ethnographic Atlas,Yalunka,Ag54,xd293,Yalunka (Ag54),10.0,-12.0,10.0,-12.0,yalu1240,Yalunka,yal,Mande,,NA,Missing data,,,,176736.4486,,0.249967168,
Ethnographic Atlas,Ngoni,Ac9,xd75,Ngoni (Ac9),-12.0,33.0,-12.0,33.0,ngon1269,Ngoni,ngo,Atlantic-Congo,1940,7,"Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.",,with special reference to the Mpezeni group of Fort Jameson,,108967.7416,,0.382076732,
Ethnographic Atlas,Negri Sembilan,Ej16,xd723,Negri Sembilan (Ej16),21.0,102.0,21.0,102.0,nege1240,Negeri Sembilan Malay,zmi,Austronesian,,NA,Missing data,,,,119359.2698,,0.379447396,
Ethnographic Atlas,Arbore,Ca18,xd424,Arbore (Ca18),5.0,37.0,5.0,37.0,arbo1245,Arbore,arv,Afro-Asiatic,,NA,Missing data,,,,66131.54844,,0.388524018,
Ethnographic Atlas,Fut,Ae9,xd185,Fut (Ae9),6.0,10.0,6.0,10.0,bafu1246,Bafut,bfd,Atlantic-Congo,,NA,Missing data,,,,188116.4365,,0.462102424,
Ethnographic Atlas,Angami,Ei13,xd700,Angami (Ei13),26.0,94.0,26.0,94.0,anga1288,Angami Naga,njm,Sino-Tibetan,1910,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,99740.42821,,0.359628672,
Ethnographic Atlas,Sio,Ie32,xd810,Sio (Ie32),-6.0,147.0,-6.0,147.0,sioo1240,Sio,xsi,Austronesian,,NA,Missing data,,,,322209.7971,,0.57352094,
Ethnographic Atlas,Assiniboine,Ne11,xd1210,Assiniboin (Ne11),48.0,-106.0,48.0,-106.0,assi1247,Assiniboine,asb,Siouan,1870,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,,,34597.46853,,0.569926274,
Ethnographic Atlas,Santa Cruz Islanders,Ih9,xd875,Santa Cruz (Ih9),-10.73,165.85,-11.0,166.0,natu1246,Natügu,ntu,Austronesian,,NA,Missing data,,,,262009.351,,0.647010775,
Ethnographic Atlas,Mbugwe,Ad5,xd120,Mbugwe (Ad5),-4.0,36.0,-4.0,36.0,mbug1242,Mbugwe,mgz,Atlantic-Congo,,NA,Missing data,,,,78976.34522,,0.50910426,
Ethnographic Atlas,Safwa,Ad17,xd84,Safwa (Ad17),-8.0,33.0,-8.0,33.0,safw1238,Safwa,sbk,Atlantic-Congo,,NA,Missing data,,,,108837.2058,,0.395873356,
Ethnographic Atlas,Punan,Ib9,xd758,Punan (Ib9),3.0,115.0,3.0,115.0,puna1275,Punan Bah-Biau,pna,Austronesian,,NA,Missing data,,,,234439.7654,,0.679233708,
Ethnographic Atlas,Ontong Java,Ii5,xd884,Ontong Java (Ii5),-5.48,159.7,-5.0,160.0,onto1237,Ontong Java,ojv,Austronesian,1920,3,Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.,,"Leuenuwa, Lord Howe's Islanders",,272187.6992,,0.689043307,
Ethnographic Atlas,Miskito,Sa9,xd1325,Miskito (Sa9),13.0,-85.0,13.0,-85.0,misk1235,Mískito,miq,Misumalpan,1920,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,Vicinity: Cape Gracias a Dios,,57210.32214,,0.482786919,
Ethnographic Atlas,Beraber,Cd7,xd525,Beraber (Cd7),33.0,-7.0,33.0,-7.0,cent2194,Central Atlas Tamazight,tzm,Afro-Asiatic,,NA,Missing data,,,,17543.17879,,0.4191771,
Ethnographic Atlas,Palauans,If1,xd824,Palauans (If1),7.45,134.54,7.0,135.0,pala1344,Palauan,pau,Austronesian,1940,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,"Ulimang, Badeldaob Island",,268661.4461,,0.653021701,
Ethnographic Atlas,Builsa,Ag38,xd275,Builsa (Ag38),11.0,-2.0,11.0,-2.0,buli1254,Buli (Ghana),bwu,Atlantic-Congo,,NA,Missing data,,,,90046.60985,,0.282067582,
Ethnographic Atlas,Sara,Ai22,xd351,Sara (Ai22),9.0,18.0,9.0,18.0,sarr1246,Sar,mwm,Central Sudanic,,NA,Missing data,,,,106302.7051,,0.350509093,
Ethnographic Atlas,Luapula,Ac34,xd60,Luapula (Ac34),-10.0,29.0,-10.0,29.0,luun1238,Luunda,,Atlantic-Congo,,NA,Missing data,,,,141280.5774,,0.359153854,
Ethnographic Atlas,Uncompahgre Ute,Nd62,xd1199,Uncompahgre (Nd62),39.0,-107.0,39.0,-107.0,utee1244,Ute,,Uto-Aztecan,,NA,Missing data,,,,73213.00921,,0.597546158,
Ethnographic Atlas,Kpe,Ae2,xd138,Kpe (Ae2),4.22,9.27,4.0,9.0,mokp1239,Mokpwe,bri,Atlantic-Congo,1950,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,212615.8447,,0.529460913,
Ethnographic Atlas,Karankawa,Ne16,xd1215,Karankawa (Ne16),29.0,-96.0,29.0,-96.0,kara1289,Karankawa,zkk,Karankawa,1800,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,63436.64027,,0.524922978,
Ethnographic Atlas,Lowiili,Ag36,xd273,Lowiili (Ag36),11.0,-3.0,11.0,-3.0,malb1235,Malba Birifor,bfo,Atlantic-Congo,,NA,Missing data,,,,94588.336,,0.273213379,
Ethnographic Atlas,Venda,Ab6,xd29,Venda (Ab6),-23.0,30.0,-23.0,30.0,vend1245,Venda,ven,Atlantic-Congo,1900,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,78645.35105,,0.382293562,
Ethnographic Atlas,Krahn,Af47,xd227,Kran (Af47),6.0,-8.0,6.0,-8.0,west2488,Western Krahn,krw,Atlantic-Congo,,NA,Missing data,,,,170030.0034,,0.464007859,
Ethnographic Atlas,Arikara,Ne10,xd1209,Arikara (Ne10),46.0,-101.0,46.0,-101.0,arik1262,Arikara,ari,Caddoan,1860,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,,,38952.27672,,0.524485472,
Ethnographic Atlas,Lengua,Sh9,xd1396,Lengua (Sh9),-23.0,-59.0,-23.0,-59.0,leng1262,Lengua,leg,Lengua-Mascoy,,NA,Missing data,,,,94452.65002,,0.40827749,
Ethnographic Atlas,Moru,Ai34,xd364,Moru (Ai34),5.0,30.0,5.0,30.0,moru1253,Moru,mgd,Central Sudanic,,NA,Missing data,,,,181716.4031,,0.475648525,
Ethnographic Atlas,Kakwa,Aj14,xd389,Kakwa (Aj14),4.0,31.0,4.0,31.0,kakw1240,Kakwa,keo,Nilotic,,NA,Missing data,,,,170507.6056,,0.470524912,
Ethnographic Atlas,Mimika,Ie30,xd808,Mimika (Ie30),-4.0,135.0,-4.0,135.0,kamo1255,Kamoro,kgq,Nuclear Trans New Guinea,,NA,Missing data,,,,298970.5246,,0.572977086,
Ethnographic Atlas,Bisayan,Ia18,xd741,Bisayan (Ia18),10.0,123.0,10.0,123.0,akla1241,Aklanon,akl,Austronesian,,NA,Missing data,,,,213046.4443,,0.616354009,
Ethnographic Atlas,Bungi,Ne14,xd1213,Bungi (Ne14),51.0,-100.0,51.0,-100.0,west1510,Western Ojibwa,ojw,Algic,,NA,Missing data,,,,35106.61666,,0.579928653,
Ethnographic Atlas,Páez,Sf5,xd1378,Paez (Sf5),3.0,-76.0,3.0,-76.0,paez1247,Páez,pbb,Páez,1900,2,A belief in possession exists.,,,,203766.6787,,0.527867786,
Ethnographic Atlas,Mbuti,Aa5,xd5,Mbuti (Aa5),2.0,28.0,2.0,28.0,kang1285,Kango (Tshopo District),kzy,Atlantic-Congo,1930,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,"Epulu net-hunters, Ituri forest",,243307.949,,0.673788882,
Ethnographic Atlas,Mesakin,Ai39,xd369,Mesakin (Ai39),11.0,30.0,11.0,30.0,ngil1242,Ngile,jle,Narrow Talodi,1940,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,,,83224.02109,,0.348093761,
Ethnographic Atlas,Kainai,Ne13,xd1212,Blood (Ne13),51.0,-115.0,51.0,-115.0,bloo1239,Blood,,Algic,,NA,Missing data,,,,61041.18483,,0.636505933,
Ethnographic Atlas,Zigula,Ad28,xd96,Zigula (Ad28),-5.84,38.79,-6.0,39.0,zigu1242,Zigula,ziw,Atlantic-Congo,,NA,Missing data,,,,111334.7851,,0.595244452,
Ethnographic Atlas,Ga,Af43,xd223,Ga (Af43),6.0,0.0,6.0,0.0,gaaa1244,Ga,gaa,Atlantic-Congo,1930,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,105897.6985,,0.436422344,
Ethnographic Atlas,Choiseulese,Ig12,xd844,Choiseulese (Ig12),-6.69,156.52,-6.0,156.0,vagh1249,Vaghua,tva,Austronesian,,NA,Missing data,,,,299823.3941,,0.671466469,
Ethnographic Atlas,Kiowa,Ne17,xd1216,Kiowa (Ne17),36.0,-99.0,36.0,-99.0,kiow1266,Kiowa,kio,Kiowa-Tanoan,1860,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,62599.08656,,0.49708281,
Ethnographic Atlas,Hidatsa,Ne15,xd1214,Hidatsa (Ne15),47.0,-101.0,47.0,-101.0,hida1246,Hidatsa,hid,Siouan,1860,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,Hidatsa Village,,37897.45785,,0.541238433,
Ethnographic Atlas,Kurtatchi,Ig3,xd855,Kurtatchi (Ig3),-5.6,154.91,-5.0,154.0,tinp1237,Tinputz,tpz,Austronesian,1930,3,Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.,,,,280132.8361,,0.670633447,
Ethnographic Atlas,Jakaltek,Sa15,xd1315,Jacaltec (Sa15),14.0,-90.0,14.0,-90.0,popt1235,Popti',jac,Mayan,,NA,Missing data,,,,98994.52412,,0.331936177,
Ethnographic Atlas,Diola,Ag19,xd254,Diola (Ag19),12.88,-16.19,12.0,-17.0,jola1263,Jola-Fonyi,dyo,Atlantic-Congo,,NA,Missing data,,,,25523.54441,,0.202357787,
Ethnographic Atlas,Somba,Ag51,xd290,Somba (Ag51),11.0,1.0,11.0,1.0,dita1238,Ditammari,tbz,Atlantic-Congo,,NA,Missing data,,,,87725.76153,,0.307851881,
Ethnographic Atlas,Thai,Ej9,xd731,Siamese (Ej9),15.0,100.0,15.0,100.0,thai1261,Thai,tha,Tai-Kadai,1940,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,146199.3955,,0.349312149,
Ethnographic Atlas,Lakalai,Ig7,xd859,Lakalai (Ig7),-5.5,150.81,-5.0,151.0,naka1262,Nakanai,nak,Austronesian,1950,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,,,271024.8361,,0.675202981,
Ethnographic Atlas,Carajá,Sj1,xd1407,Caraja (Sj1),-12.0,-50.0,-12.0,-50.0,kara1500,Karajá,kpj,Nuclear-Macro-Je,1950,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,128319.746,,0.239901032,
Ethnographic Atlas,Hadendowa,Ca43,xd452,Hadendowa (Ca43),18.0,36.0,18.0,36.0,hade1248,Hadendoa,,Afro-Asiatic,,NA,Missing data,,,,16926.60016,,0.27050104,
Ethnographic Atlas,Lawa,Ej12,xd719,Lawa (Ej12),18.0,98.0,18.0,98.0,west2396,Western Lawa,lcp,Austroasiatic,,NA,Missing data,,,,139419.5572,,0.268591291,
Ethnographic Atlas,Hadimu,Ad29,xd97,Hadimu (Ad29),-6.07,39.43,-6.0,40.0,pemb1239,Pemba,,Atlantic-Congo,1930,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,,,110391.1774,,0.575285052,
Ethnographic Atlas,Lalia,Ae23,xd142,Lalia (Ae23),-1.0,23.0,-1.0,23.0,lali1242,Lalia,lal,Bookkeeping,,NA,Missing data,,,,202235.1105,,0.606440117,
Ethnographic Atlas,Kutenai,Nd7,xd1205,Kutenai (Nd7),50.0,-117.0,50.0,-117.0,kute1249,Kutenai,kut,Kutenai,,NA,Missing data,,,,100370.9197,,0.530532504,
Ethnographic Atlas,Kabyle,Cd4,xd522,Kabyle (Cd4),36.0,4.0,36.0,4.0,kaby1243,Kabyle,kab,Afro-Asiatic,1890,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,26627.78514,,0.494692811,
Ethnographic Atlas,Taviwatsiu,Nd61,xd1198,Taviwatsiu (Nd61),40.0,-105.0,40.0,-105.0,utee1244,Ute,,Uto-Aztecan,,NA,Missing data,,,,56021.92742,,0.531659015,
Ethnographic Atlas,Moro,Ai40,xd371,Moro (Ai40),11.0,30.0,11.0,30.0,moro1285,Moro,mor,Heiban,1940,3,Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.,,,,83224.02109,,0.348093761,
Ethnographic Atlas,Toba,Sh8,xd1395,Toba (Sh8),-25.0,-60.0,-25.0,-60.0,toba1269,Toba,tob,Guaicuruan,1964,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,with special reference to those of the Argentine Chaco,,93083.45966,,0.433533141,
Ethnographic Atlas,Mbundu,Ab5,xd28,Mbundu (Ab5),-12.0,16.0,-12.0,16.0,umbu1257,Umbundu,umb,Atlantic-Congo,1930,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,122622.7043,,0.285961051,
Ethnographic Atlas,Toda,Eg4,xd680,Toda (Eg4),12.0,77.0,12.0,77.0,toda1252,Toda,tcx,Dravidian,1900,3,Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.,,Toda Tribe,,179394.168,,0.397489509,
Ethnographic Atlas,Koita,Ie20,xd797,Koita (Ie20),-9.0,147.0,-9.0,147.0,koit1244,Koitabu,kqi,Koiarian,1900,7,"Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.",,,,166767.402,,0.491649522,
Ethnographic Atlas,Kulango,Ag35,xd272,Kulango (Ag35),7.0,-3.0,7.0,-3.0,boun1243,Bouna Kulango,nku,Atlantic-Congo,,NA,Missing data,,,,123888.6925,,0.453442217,
Ethnographic Atlas,Dorse,Ca41,xd450,Dorse (Ca41),6.0,38.0,6.0,38.0,dorz1235,Dorze,doz,Ta-Ne-Omotic,,NA,Missing data,,,,70074.80586,,0.393931522,
Ethnographic Atlas,Moache,Nd60,xd1197,Moache (Nd60),37.0,-105.0,37.0,-105.0,utee1244,Ute,,Uto-Aztecan,,NA,Missing data,,,,65949.18337,,0.522169532,
Ethnographic Atlas,Mistissini Cree,Na45,xd1062,Mistassini (Na45),51.75,-72.66,51.75,-72.66,sout2978,Southern East Cree,crj,Algic,,NA,Missing data,,,,77909.65313,,0.670385072,
Ethnographic Atlas,Kaguru,Ad50,xd121,Kaguru (Ad50),-6.0,37.0,-6.0,37.0,kagu1239,Kagulu,kki,Atlantic-Congo,,NA,Missing data,,,,99675.63239,,0.549052252,
Ethnographic Atlas,Bisa,Ag53,xd292,Bisa (Ag53),12.0,0.0,12.0,0.0,biss1248,Bissa,bib,Mande,,NA,Missing data,,,,74486.35854,,0.292044997,
Ethnographic Atlas,Bachama,Cb27,xd477,Bachama (Cb27),10.0,12.0,10.0,12.0,baca1246,Bacama,bcy,Afro-Asiatic,,NA,Missing data,,,,90547.65691,,0.339183477,
Ethnographic Atlas,Dorosie,Ag34,xd271,Dorosie (Ag34),11.0,-4.0,11.0,-4.0,dogo1295,Dogosé,dos,Atlantic-Congo,,NA,Missing data,,,,99722.86983,,0.269206385,
Ethnographic Atlas,Manprusi,Ag46,xd284,Manprusi (Ag46),10.0,-1.0,10.0,-1.0,mamp1244,Mampruli,maw,Atlantic-Congo,,NA,Missing data,,,,95949.06126,,0.321333625,
Ethnographic Atlas,Amarar,Ca35,xd443,Amarar (Ca35),20.0,36.0,20.0,36.0,amar1281,Amara (Beja),,Afro-Asiatic,1930,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,,,9698.06432,,0.229485879,
Ethnographic Atlas,Tiriki,Ad40,xd110,Tiriki (Ad40),0.0,35.0,0.0,35.0,idak1243,Idakho-Isukha-Tiriki,ida,Atlantic-Congo,,NA,Missing data,,,,68198.09799,,0.388520257,
Ethnographic Atlas,Yavapai,Nd66,xd1203,Yavapai (Nd66),35.0,-112.0,35.0,-112.0,yava1252,Yavapai,,Cochimi-Yuman,1870,1,"Trance behavior is known to occur, but there is no belief in possession.",,with exdlusive reference to the Northeastern Yavapai,,46753.65273,,0.35925218,
Ethnographic Atlas,Lau,Ih4,xd870,Lau (Ih4),-17.74,-179.31,-18.0,179.0,laua1243,Lauan,llx,Austronesian,1920,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,Lau Island,,161981.0707,,0.542305923,
Ethnographic Atlas,Azande,Ai3,xd359,Azande (Ai3),5.0,27.0,5.0,27.0,zand1248,Zande,zne,Atlantic-Congo,1920,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,191222.4513,,0.499659524,
Ethnographic Atlas,Czechs,Ch3,xd567,Czechs (Ch3),50.0,16.0,50.0,16.0,czec1258,Czech,ces,Indo-European,,NA,Missing data,,,,68449.75072,,0.678348809,
Ethnographic Atlas,Andamanese,Eh1,xd686,Andamese (Eh1),12.0,93.0,12.0,93.0,apuc1241,A-Pucikwar,apq,Great Andamanese,1870,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,,,159977.0389,,0.327291716,
Ethnographic Atlas,Lillooet,Nd9,xd1207,Lillooet (Nd9),50.02,-124.78,50.0,-125.0,lill1248,Lillooet,lil,Salishan,,NA,Missing data,,,,195278.8429,,0.475442169,
Ethnographic Atlas,Manam,Ie29,xd806,Manam (Ie29),-4.08,145.03,-4.0,145.0,mana1295,Manam,mva,Austronesian,,NA,Missing data,,,,312181.4327,,0.632697542,
Ethnographic Atlas,Lugbara,Ai32,xd362,Lugbara (Ai32),3.0,32.0,3.0,32.0,lugb1240,Lugbara,lgg,Central Sudanic,1920,7,"Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.",,,,140933.373,,0.421938801,
Ethnographic Atlas,Tira,Ai41,xd372,Tira (Ai41),11.0,30.0,11.0,30.0,tira1254,Tira,tic,Heiban,1930,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,,,83224.02109,,0.348093761,
Ethnographic Atlas,Ao,Ei14,xd701,Ao (Ei14),27.0,94.0,27.0,94.0,aona1235,Ao Naga,njo,Sino-Tibetan,,NA,Missing data,,,,179460.4827,,0.339222175,
Ethnographic Atlas,Chilcotin,Nd8,xd1206,Chilcotin (Nd8),52.0,-122.0,52.0,-122.0,chil1280,Chilcotin,clc,Athapaskan-Eyak-Tlingit,,NA,Missing data,,,,73915.78364,,0.612701815,
Ethnographic Atlas,Blackfoot,Ne12,xd1211,Blackfoot (Ne12),51.0,-112.0,51.0,-112.0,pieg1239,Piegan,,Algic,1850,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,35498.67711,,0.598619031,
